Datetime,Open,High,Low,Close,Volume,openinterest
2017-9-1 8:00:00,4689.89,4885.55,4654.88,4834.91,560.666366,
2017-9-2 8:00:00,4796.16,4939.19,4286.87,4472.14,929.148595,
2017-9-3 8:00:00,4508.5,4714.76,4298.33,4509.08,691.216198,
2017-9-4 8:00:00,4505,4527.49,3972.51,4100.11,1394.644614,
2017-9-5 8:00:00,4106.97,4484.99,3603,4366.47,1228.938157,
2017-9-6 8:00:00,4366.49,4662.87,4335.26,4619.77,807.363726,
2017-9-7 8:00:00,4619.77,4788.59,4438.19,4691.61,500.429975,
2017-9-8 8:00:00,4691.66,4735.39,4028.93,4282.8,1132.255046,
2017-9-9 8:00:00,4282.8,4426.62,4150.06,4258.81,658.782952,
2017-9-10 8:00:00,4258.81,4283,3801,4130.37,660.373275,
2017-9-11 8:00:00,4153.62,4334.43,4098.91,4208.47,699.989065,
2017-9-12 8:00:00,4208.6,4394.59,4040.8,4163.72,879.630319,
2017-9-13 8:00:00,4159.72,4165.38,3760,3944.69,913.462545,
2017-9-14 8:00:00,3944,3993,3165.13,3189.02,1665.021543,
2017-9-15 8:00:00,3188.01,3856,2817,3700,1968.866492,
2017-9-16 8:00:00,3674.01,3950,3470.66,3714.95,1297.563953,
2017-9-17 8:00:00,3685.23,3748.21,3499.02,3699.99,682.17121,
2017-9-18 8:00:00,3690,4123.2,3690,4035.01,1030.006455,
2017-9-19 8:00:00,4060,4089.97,3830.91,3910.04,902.332129,
2017-9-20 8:00:00,3910.04,4046.08,3820,3900,720.935076,
2017-9-21 8:00:00,3889.99,3910,3567,3609.99,1001.654084,
2017-9-22 8:00:00,3592.84,3750,3505.55,3595.87,838.966425,
2017-9-23 8:00:00,3595.88,3817.19,3542.91,3780,752.792791,
2017-9-24 8:00:00,3779.54,3789.99,3622.76,3660.02,661.63639,
2017-9-25 8:00:00,3660.02,3979.87,3653.69,3920.75,727.994713,
2017-9-26 8:00:00,3928,3976.99,3850.05,3882.35,526.727987,
2017-9-27 8:00:00,3882.36,4249.94,3872.81,4193,628.170966,
2017-9-28 8:00:00,4192.11,4300,4101,4174.5,849.785325,
2017-9-29 8:00:00,4178.98,4263.86,3952.01,4174.69,1602.309565,
2017-9-30 8:00:00,4175,4380,4138.1,4378.51,720.353183,
2017-10-1 8:00:00,4378.49,4406.52,4240.04,4378.48,726.963685,
2017-10-2 8:00:00,4400,4561.63,4360,4380,655.756974,
2017-10-3 8:00:00,4380,4467.33,4180.8,4310,1082.323563,
2017-10-4 8:00:00,4314.9,4373,4142,4208.59,868.465101,
2017-10-5 8:00:00,4208.59,4355,4110,4292.43,779.138638,
2017-10-6 8:00:00,4318.99,4417,4292,4369,506.529176,
2017-10-7 8:00:00,4369,4479.5,4312.56,4423,297.5975,
2017-10-8 8:00:00,4425,4658,4425,4640,518.462004,
2017-10-9 8:00:00,4640,4889.98,4550,4786.95,646.463145,
2017-10-10 8:00:00,4786.95,4960,4680.59,4783.06,1043.221773,
2017-10-11 8:00:00,4783.06,4881.61,4710,4821.43,753.429396,
2017-10-12 8:00:00,4821.43,5439.99,4810.16,5430,1276.701482,
2017-10-13 8:00:00,5439.99,5846.17,5379.84,5649.98,1879.82762,
2017-10-14 8:00:00,5650,5900,5580.01,5869.99,970.759046,
2017-10-15 8:00:00,5855.03,5922.3,5400.01,5709.99,1343.523375,
2017-10-16 8:00:00,5710,5788.91,5585.19,5760.02,1528.996462,
2017-10-17 8:00:00,5760,5774.98,5508.63,5595,1429.869376,
2017-10-18 8:00:00,5595,5596,5037.95,5512.06,2317.804373,
2017-10-19 8:00:00,5513,5710,5490.26,5683.9,1881.722107,
2017-10-20 8:00:00,5683.31,6110,5600,6010.01,1972.97722,
2017-10-21 8:00:00,6013.72,6171,5850.03,6024.97,1664.307693,
2017-10-22 8:00:00,6003.27,6060,5720.03,5950.02,1362.092216,
2017-10-23 8:00:00,5975,6080,5621.03,5915.93,1812.557715,
2017-10-24 8:00:00,5909.47,5925,5450,5477.03,2580.418767,
2017-10-25 8:00:00,5506.92,5704.96,5286.98,5689.99,2282.813205,
2017-10-26 8:00:00,5670.1,5939.99,5650,5861.77,1972.965882,
2017-10-27 8:00:00,5861.77,5980,5649.24,5768.83,1403.706416,
2017-10-28 8:00:00,5768.79,5850.02,5630.03,5719.64,1276.754412,
2017-10-29 8:00:00,5709.98,6189.88,5648.01,6169.98,1804.778173,
2017-10-30 8:00:00,6133.01,6248.68,6030,6120.5,1473.687043,
2017-10-31 8:00:00,6120.52,6498.01,6100,6463,1511.774925,
2017-11-1 8:00:00,6463,6774.67,6338.02,6753.98,1675.615188,
2017-11-2 8:00:00,6753.98,7300,6685.1,7019.98,2503.610803,
2017-11-3 8:00:00,7010.31,7346.34,6923,7115.04,1891.497592,
2017-11-4 8:00:00,7115.02,7480.99,6901,7357.09,1399.191767,
2017-11-5 8:00:00,7357.27,7590.25,7279.02,7345.01,1207.83233,
2017-11-6 8:00:00,7345.1,7401,6906,6960.12,1763.019261,
2017-11-7 8:00:00,6981.72,7198.49,6901,7064.04,1440.259494,
2017-11-8 8:00:00,7070,7770.02,6651,7303,2822.298802,
2017-11-9 8:00:00,7303.01,7392,7015,7079.99,1913.398308,
2017-11-10 8:00:00,7079,7279.91,6255.01,6506.98,3254.704105,
2017-11-11 8:00:00,6503,6797.98,6100,6245.05,2754.156861,
2017-11-12 8:00:00,6245.05,6630,5325.01,5811.03,4968.483069,
2017-11-13 8:00:00,5839.94,6697.47,5699.99,6465.99,2621.243039,
2017-11-14 8:00:00,6465.99,6684.98,6311.07,6574.99,1254.292531,
2017-11-15 8:00:00,6575.99,7298,6575.99,7240.06,1779.605845,
2017-11-16 8:00:00,7240.14,7940,7076,7864.5,2331.95675,
2017-11-17 8:00:00,7876.98,7989,7451,7699.19,3982.395925,
2017-11-18 8:00:00,7680.01,7819.99,7422,7761.94,3954.266477,
2017-11-19 8:00:00,7761.94,8123.15,7650.33,8038,3867.340444,
2017-11-20 8:00:00,8057.11,8319.99,7954,8212,3886.634348,
2017-11-21 8:00:00,8212.49,8400,7801,8119.51,4544.474016,
2017-11-22 8:00:00,8091.09,8322.68,8091.09,8205.92,3545.00571,
2017-11-23 8:00:00,8233.03,8260,8000,8019.99,4093.952687,
2017-11-24 8:00:00,8019.97,8369,7850,8138,4411.789112,
2017-11-25 8:00:00,8138.99,8734.78,8090,8700.01,4292.623682,
2017-11-26 8:00:00,8700.04,9350,8604.72,9128.02,4147.380237,
2017-11-27 8:00:00,9128,9654.28,9112.04,9650,4521.625707,
2017-11-28 8:00:00,9650,9939,9570.5,9896.8,4917.210985,
2017-11-29 8:00:00,9896.79,11300.03,8520,9687.88,13352.53872,
2017-11-30 8:00:00,9687.88,10900,8850.8,9838.96,9389.574329,
2017-12-1 8:00:00,9837,10898,9380,10782.99,6134.923633,
2017-12-2 8:00:00,10775.04,11190,10620,10890.01,4765.439757,
2017-12-3 8:00:00,10902.69,11825,10500,11165.41,5346.636524,
2017-12-4 8:00:00,11165.41,11600,10802,11579,4663.424562,
2017-12-5 8:00:00,11571.03,11853,11447.68,11699.99,5550.732055,
2017-12-6 8:00:00,11699.99,13615.23,11665.58,13550.05,6707.946319,
2017-12-7 8:00:00,13541.01,16649.96,13050,16599,7487.065695,
2017-12-8 8:00:00,16599,17204.99,14015,15880,17589.01314,
2017-12-9 8:00:00,15880.01,16269.3,12535,14656.07,13918.75869,
2017-12-10 8:00:00,14664.01,15720.12,12368,14899.98,16553.03717,
2017-12-11 8:00:00,14946.26,17470,14901.08,16587.97,11820.40176,
2017-12-12 8:00:00,16587.97,16976.45,15875,16349.99,9436.802411,
2017-12-13 8:00:00,16349.99,16546,14666.56,16033.29,12416.3288,
2017-12-14 8:00:00,16030.34,16445,15450,16334.98,11616.86715,
2017-12-15 8:00:00,16334.98,17991,16298.45,17539.83,9181.273947,
2017-12-16 8:00:00,17516.81,19539,17190.01,19102.66,4202.628709,
2017-12-17 8:00:00,19120.19,19798.68,18510,18860.02,9177.183434,
2017-12-18 8:00:00,18860.04,19300,17029.98,18856.25,10624.63307,
2017-12-19 8:00:00,18856.25,18950,16300,17295.2,13210.74822,
2017-12-20 8:00:00,17295.2,17720.35,14777.66,16488.98,13450.49669,
2017-12-21 8:00:00,16480.52,17309.5,14022,15492.64,20324.2173,
2017-12-22 8:00:00,15514.03,15699.34,10961,13326.61,36076.27118,
2017-12-23 8:00:00,13326.61,14950,12978.18,13300,13141.53888,
2017-12-24 8:00:00,13300,13819.99,11640,13500,28557.53499,
2017-12-25 8:00:00,13500,14300,12708,13699.34,15748.20761,
2017-12-26 8:00:00,13699.34,16050,13533,15689.01,15034.6681,
2017-12-27 8:00:00,15709.98,16498.05,14200.15,15459.99,14959.86472,
2017-12-28 8:00:00,15459.97,15539.99,13150,14182.11,21717.85801,
2017-12-29 8:00:00,14199.14,14981,13850,14378.9,18072.00812,
2017-12-30 8:00:00,14378.99,14398.85,11750,12440.01,19221.15804,
2017-12-31 8:00:00,12345.1,14050.11,12149.98,13716.36,11768.98972,
2018-1-1 8:00:00,13715.65,13818.55,12750,13380,8609.915844,
2018-1-2 8:00:00,13382.16,15473.49,12890.02,14675.11,20078.09211,
2018-1-3 8:00:00,14690,15307.56,14150,14919.51,15905.66764,
2018-1-4 8:00:00,14919.51,15280,13918.04,15059.54,21329.64957,
2018-1-5 8:00:00,15059.56,17176.24,14600,16960.39,23251.49113,
2018-1-6 8:00:00,16960.39,17143.13,16011.21,17069.79,18571.45751,
2018-1-7 8:00:00,17069.79,17099.96,15610,16150.03,12493.12556,
2018-1-8 8:00:00,16218.85,16322.3,12812,14902.54,26600.60991,
2018-1-9 8:00:00,14902.54,15500,14011.05,14400,14315.00425,
2018-1-10 8:00:00,14401,14955.66,13131.31,14907.09,17411.00166,
2018-1-11 8:00:00,14940,14968.68,11400,13238.78,33554.72375,
2018-1-12 8:00:00,13238.76,14109.78,12500,13740.01,16417.16214,
2018-1-13 8:00:00,13749.95,14580,13706.15,14210,12221.50853,
2018-1-14 8:00:00,14210,14339.5,12569.2,13474.99,17017.89433,
2018-1-15 8:00:00,13477.98,14249.99,13147.79,13539.93,14652.09471,
2018-1-16 8:00:00,13500,13542.93,9035,10900,63401.16918,
2018-1-17 8:00:00,10899.99,11680.99,9037.94,10988.79,72331.79665,
2018-1-18 8:00:00,10972.59,11878.82,10435.33,10961.97,48464.43494,
2018-1-19 8:00:00,10960,11795,10360,11474.98,34129.37542,
2018-1-20 8:00:00,11474.98,13099,11412.45,12799.94,28768.85783,
2018-1-21 8:00:00,12799.8,12799.8,10965,11530,41379.77343,
2018-1-22 8:00:00,11530,11926.35,9900.24,10760.05,43752.60679,
2018-1-23 8:00:00,10760.05,11399,9905,10799.18,37473.92255,
2018-1-24 8:00:00,10799.14,11570.48,10500,11349.99,27158.58776,
2018-1-25 8:00:00,11349.96,11794.05,10950.21,11175.27,20839.95418,
2018-1-26 8:00:00,11184.7,11643,10311.15,11089,33056.87196,
2018-1-27 8:00:00,11089,11650,10842.69,11491,18860.76835,
2018-1-28 8:00:00,11499.98,12244,11408,11879.95,16887.33952,
2018-1-29 8:00:00,11879.95,11975.02,11139.55,11251,14170.37754,
2018-1-30 8:00:00,11250.11,11308.42,9900,10237.51,25554.37295,
2018-1-31 8:00:00,10230,10425.85,9700,10285.1,18015.95681,
2018-2-1 8:00:00,10285.1,10335,8750.99,9224.52,33564.76431,
2018-2-2 8:00:00,9224.52,9250,8010.02,8873.03,49971.62698,
2018-2-3 8:00:00,8873.03,9473.01,8229,9199.96,28725.00074,
2018-2-4 8:00:00,9199.96,9368,7930,8184.81,32014.30845,
2018-2-5 8:00:00,8179.99,8382.8,6625,6939.99,63403.18258,
2018-2-6 8:00:00,6939.63,7878,6000.01,7652.14,100201.5003,
2018-2-7 8:00:00,7655.02,8476,7150.01,7599,60778.4605,
2018-2-8 8:00:00,7599,7844,7572.09,7784.02,1521.537318,
2018-2-9 8:00:00,7789.9,8738,7789.9,8683.92,20482.91083,
2018-2-10 8:00:00,8683.93,9065.78,8120,8533.98,49381.51265,
2018-2-11 8:00:00,8533.99,8549,7726.53,8063.88,45025.18795,
2018-2-12 8:00:00,8063.82,8989,8053,8903,41987.85049,
2018-2-13 8:00:00,8903,8950,8351,8539.9,35454.97296,
2018-2-14 8:00:00,8535.17,9489.6,8533,9449.99,40811.95287,
2018-2-15 8:00:00,9449.98,10219.5,9301.5,10000.09,52427.59672,
2018-2-16 8:00:00,10000.89,10323.37,9666,10159.98,38161.20597,
2018-2-17 8:00:00,10156.07,11075.07,10050,11039.55,41882.10841,
2018-2-18 8:00:00,11039.55,11274,10080,10383.43,61137.38073,
2018-2-19 8:00:00,10375.01,11250,10270.33,11153,40831.41713,
2018-2-20 8:00:00,11147.11,11786.01,11100.59,11200.99,48153.35429,
2018-2-21 8:00:00,11195.07,11304.03,10200,10437.6,68113.81875,
2018-2-22 8:00:00,10439.02,10933.44,9679,9811.04,67060.16648,
2018-2-23 8:00:00,9815.55,10435,9570.19,10131.04,57202.70237,
2018-2-24 8:00:00,10131.04,10496.97,9352,9694.51,40888.1563,
2018-2-25 8:00:00,9694.51,9847,9274.8,9590,28373.51759,
2018-2-26 8:00:00,9590,10444.32,9350,10324,34878.29276,
2018-2-27 8:00:00,10321,10870,10121,10569.04,30705.38512,
2018-2-28 8:00:00,10584.33,11098,10300,10326.76,30800.98378,
2018-3-1 8:00:00,10325.64,11060.41,10240,10920,25092.55393,
2018-3-2 8:00:00,10923.36,11200,10770,11039,23910.71009,
2018-3-3 8:00:00,11038.99,11544,11015.01,11464.48,21287.15328,
2018-3-4 8:00:00,11464.47,11565,11050.02,11515,17295.91865,
2018-3-5 8:00:00,11515,11710,11415.01,11454,15144.23106,
2018-3-6 8:00:00,11455,11455,10555.48,10716.48,29515.57236,
2018-3-7 8:00:00,10716.48,10899,9389.31,9910,50647.67108,
2018-3-8 8:00:00,9910,10099,9060,9271.64,41109.47323,
2018-3-9 8:00:00,9267.07,9410,8329,9227,64112.29141,
2018-3-10 8:00:00,9230,9490,8667.07,8770.22,37180.01286,
2018-3-11 8:00:00,8770.22,9740,8450,9533.57,44325.97339,
2018-3-12 8:00:00,9533.57,9888.88,8780,9131.34,42230.77793,
2018-3-13 8:00:00,9131.34,9474,8823,9150,40191.40936,
2018-3-14 8:00:00,9151.92,9333.78,7900.28,8170,49708.09411,
2018-3-15 8:00:00,8184.01,8430,7650,8240.98,52291.02228,
2018-3-16 8:00:00,8240.98,8611.64,7900,8260,38815.40989,
2018-3-17 8:00:00,8260,8348.62,7721.99,7824.8,33110.20633,
2018-3-18 8:00:00,7824.01,8317.4,7322,8189.99,59488.23171,
2018-3-19 8:00:00,8189,8705.23,8088.4,8600,55297.08494,
2018-3-20 8:00:00,8595.01,9050,8280,8909.98,44865.10584,
2018-3-21 8:00:00,8909.96,9177.01,8750.6,8885,39972.40537,
2018-3-22 8:00:00,8884.82,9100,8465.1,8722.9,40617.55681,
2018-3-23 8:00:00,8720,8909,8269,8898.03,39991.00767,
2018-3-24 8:00:00,8898.04,8999.95,8491,8546.86,35466.60957,
2018-3-25 8:00:00,8531.25,8669.85,8365.77,8470.15,29001.76932,
2018-3-26 8:00:00,8470.14,8514.89,7831,8134.23,44033.59566,
2018-3-27 8:00:00,8134.22,8215.94,7730,7795.51,37427.64805,
2018-3-28 8:00:00,7795.51,8109,7728,7949.3,26401.33167,
2018-3-29 8:00:00,7949.3,7975,6941.11,7090.14,54620.91513,
2018-3-30 8:00:00,7090.16,7292.43,6600.1,6840.23,65306.03198,
2018-3-31 8:00:00,6840.24,7223.36,6777,6923.91,36868.53909,
2018-4-1 8:00:00,6922,7049.98,6430,6813.01,44071.43046,
2018-4-2 8:00:00,6813.01,7125,6765,7056,32123.56007,
2018-4-3 8:00:00,7063.97,7520,7011.01,7405.21,37787.33181,
2018-4-4 8:00:00,7405.21,7427.52,6707,6796.1,42227.1838,
2018-4-5 8:00:00,6796.1,6902,6566.69,6770.76,39029.73146,
2018-4-6 8:00:00,6770,6850,6500,6601.39,27455.01192,
2018-4-7 8:00:00,6601.39,7070,6586.28,6895.8,32269.57827,
2018-4-8 8:00:00,6895.81,7109.13,6880,7018,21427.67317,
2018-4-9 8:00:00,7011.04,7185,6611,6782.72,34078.29721,
2018-4-10 8:00:00,6781.55,6890,6656,6843.9,22326.7281,
2018-4-11 8:00:00,6839.56,6990,6787,6953.79,23997.87118,
2018-4-12 8:00:00,6953.78,8012.23,6743.2,7923,64861.59599,
2018-4-13 8:00:00,7922.99,8233.39,7732,7877.41,55044.52315,
2018-4-14 8:00:00,7877.48,8186,7810,7999.01,31621.28636,
2018-4-15 8:00:00,8004,8429.54,7999.02,8355,27946.72044,
2018-4-16 8:00:00,8355.07,8419,7867,8064.92,36664.06972,
2018-4-17 8:00:00,8064.92,8173.7,7825.4,7885.02,32152.60357,
2018-4-18 8:00:00,7890.96,8236.43,7868,8173,26969.04457,
2018-4-19 8:00:00,8173.99,8296,8080,8278,27113.84746,
2018-4-20 8:00:00,8273.84,8930,8177.09,8856.98,39795.33749,
2018-4-21 8:00:00,8852.12,9035,8565,8915.31,40872.22991,
2018-4-22 8:00:00,8915.31,9020.67,8727.68,8787.02,29458.25348,
2018-4-23 8:00:00,8785.7,8985,8745,8934.01,25838.11471,
2018-4-24 8:00:00,8934,9731.01,8922,9619.99,46268.79011,
2018-4-25 8:00:00,9618.96,9759.82,8730,8869.99,81110.03759,
2018-4-26 8:00:00,8869.99,9307.48,8651.62,9266,43300.30425,
2018-4-27 8:00:00,9267.03,9395,8889,8915.35,37241.34704,
2018-4-28 8:00:00,8915.35,9427.48,8870,9348,34759.62842,
2018-4-29 8:00:00,9348,9570.51,9163.74,9419,38149.85004,
2018-4-30 8:00:00,9417.04,9458.64,9124.99,9246.01,35002.03388,
2018-5-1 8:00:00,9246.01,9248.99,8800.49,9071.48,41018.46363,
2018-5-2 8:00:00,9071.48,9268,8970.2,9247.84,26123.54396,
2018-5-3 8:00:00,9247.81,9844,9168.4,9750,38768.38829,
2018-5-4 8:00:00,9750,9830.04,9520.85,9713.99,28681.58888,
2018-5-5 8:00:00,9714,10020,9682,9864,24990.01835,
2018-5-6 8:00:00,9863.99,9970,9417.03,9659.01,27690.35156,
2018-5-7 8:00:00,9661.02,9689.67,9181,9365,33787.64001,
2018-5-8 8:00:00,9365,9475.7,9060.54,9187.56,25533.83189,
2018-5-9 8:00:00,9178,9390,8965,9310,25673.5249,
2018-5-10 8:00:00,9310,9395.12,8970,9002.2,25055.06372,
2018-5-11 8:00:00,9002.21,9016.8,8341,8400,48227.04806,
2018-5-12 8:00:00,8405.94,8646.88,8153,8465.94,40241.32081,
2018-5-13 8:00:00,8475.44,8763.36,8298,8679.71,25632.86936,
2018-5-14 8:00:00,8679.71,8879.99,8277,8663.34,37389.66653,
2018-5-15 8:00:00,8663.37,8859.99,8401.3,8462,28126.95614,
2018-5-16 8:00:00,8462,8488,8083.01,8330,31130.71891,
2018-5-17 8:00:00,8330,8464,7979,8041.46,25439.8448,
2018-5-18 8:00:00,8038.82,8273.21,7911.9,8239.81,23476.15825,
2018-5-19 8:00:00,8238.01,8390.8,8095.73,8233.49,17193.42428,
2018-5-20 8:00:00,8233.49,8609,8163.9,8526.98,19957.05711,
2018-5-21 8:00:00,8526.97,8595.31,8305,8381.24,21516.59649,
2018-5-22 8:00:00,8386.89,8400.18,7935.11,7977.11,23710.90286,
2018-5-23 8:00:00,7977.12,8031.9,7425,7501.95,42910.66677,
2018-5-24 8:00:00,7501.95,7730.73,7266.99,7575.01,37845.4466,
2018-5-25 8:00:00,7578.99,7649.55,7308.15,7457,26739.95664,
2018-5-26 8:00:00,7456.99,7620,7300,7333.96,19464.08607,
2018-5-27 8:00:00,7334,7400,7231.11,7338.99,18706.94552,
2018-5-28 8:00:00,7338.99,7437,7058.02,7099,27219.43896,
2018-5-29 8:00:00,7099,7540,7032.95,7461.29,39407.21183,
2018-5-30 8:00:00,7467.98,7569,7260.5,7375.96,32041.58362,
2018-5-31 8:00:00,7382.07,7699,7327.51,7485.01,30776.0631,
2018-6-1 8:00:00,7485.01,7608.55,7355.54,7521.01,28259.12408,
2018-6-2 8:00:00,7521.01,7697.33,7437,7640.03,26720.69022,
2018-6-3 8:00:00,7636.81,7786.69,7600,7714.26,27505.15895,
2018-6-4 8:00:00,7714.26,7760.52,7446.5,7487,32258.83511,
2018-6-5 8:00:00,7487,7679.49,7358,7625,31722.97338,
2018-6-6 8:00:00,7626.64,7699,7467.05,7658.84,27229.9919,
2018-6-7 8:00:00,7658.79,7765,7620,7691.08,25062.2272,
2018-6-8 8:00:00,7691.08,7703.5,7531,7603.44,23396.80467,
2018-6-9 8:00:00,7603.44,7683.98,7450,7491.73,19339.88518,
2018-6-10 8:00:00,7491.73,7491.73,6622.81,6764.99,52342.02003,
2018-6-11 8:00:00,6765,6922,6610,6872,34552.1623,
2018-6-12 8:00:00,6872,6890.51,6435,6530,36722.21119,
2018-6-13 8:00:00,6530,6627.6,6118.68,6292.78,46185.5181,
2018-6-14 8:00:00,6292.78,6720,6260,6635.98,44478.13084,
2018-6-15 8:00:00,6638.67,6666.66,6362.31,6388.9,30018.32991,
2018-6-16 8:00:00,6380.01,6560,6320.86,6483.98,22277.24115,
2018-6-17 8:00:00,6482.5,6589.03,6422,6449.61,19847.24769,
2018-6-18 8:00:00,6444.06,6794.38,6380,6712.46,31821.435,
2018-6-19 8:00:00,6711.39,6841.74,6653,6741.21,24311.42114,
2018-6-20 8:00:00,6740,6817.23,6551.81,6761.51,26359.75245,
2018-6-21 8:00:00,6763.21,6795,6672.57,6718.84,25428.85405,
2018-6-22 8:00:00,6717.69,6733.97,5918.94,6045,52157.37083,
2018-6-23 8:00:00,6045.92,6260,6008.48,6149.98,26622.78859,
2018-6-24 8:00:00,6149.98,6259.8,5750,6136.97,47445.99896,
2018-6-25 8:00:00,6137.95,6350,6061.97,6252,39164.51531,
2018-6-26 8:00:00,6252,6272.54,6035,6070.78,19377.24048,
2018-6-27 8:00:00,6065.89,6190.43,5971,6133.73,19225.6711,
2018-6-28 8:00:00,6134.73,6173.01,5827,5853.98,30585.26603,
2018-6-29 8:00:00,5851.01,6300,5780,6197.92,33911.28728,
2018-6-30 8:00:00,6197.92,6528.99,6186.03,6390.07,37919.61284,
2018-7-1 8:00:00,6391.08,6441.06,6251,6356.81,27562.96597,
2018-7-2 8:00:00,6360.82,6685,6271.62,6615.29,36230.45226,
